,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
236,100125,813,416,910,647,861,531,0.7729417,False,508.6531234544815
237,100125,498,340,591,610,544,475,0.76329744,False,830.5450017909926
238,100125,1725,235,1807,560,1766,397,0.75251734,False,457.23626277888326
239,100125,1800,818,1899,1077,1849,947,0.6729136,False,589.7050110012632
240,100125,870,234,999,440,934,337,0.66599876,False,510.11469298580295
241,100125,692,212,814,430,753,321,0.56003225,False,676.2869213580875
242,100125,1401,278,1511,466,1456,372,0.54162866,False,258.3215051055564
243,100125,1593,224,1707,493,1650,358,0.5415991,False,383.9192623456135
244,100126,1139,354,1287,677,1213,515,0.8662318,False,180.27756377319946
245,100126,970,334,1120,672,1045,503,0.8384625,False,337.146852276571
246,100126,1304,822,1432,1076,1368,949,0.7909277,False,334.0374230531663
247,100126,762,545,937,902,849,723,0.7889017,False,525.2237618387044
248,100126,1369,476,1454,830,1411,653,0.7816682,True,61.220911460055866
249,100126,511,528,589,884,550,706,0.77100945,False,818.0770134895614
250,100126,813,416,910,653,861,534,0.7581823,False,508.49287113980273
251,100126,499,340,591,610,545,475,0.75311714,False,829.8939691309969
252,100126,1726,234,1807,560,1766,397,0.7372131,False,458.1844606705906
253,100126,870,234,999,441,934,337,0.6778672,False,511.1995696398814
254,100126,1801,818,1902,1077,1851,947,0.65366566,False,590.2270749465836
255,100126,693,212,815,431,754,321,0.55808663,False,676.2521719003939
256,100126,1594,225,1707,493,1650,359,0.55519843,False,384.5841910427416
257,100126,1402,278,1511,466,1456,372,0.55319136,False,260.18839328455834
258,100127,1138,353,1287,677,1212,515,0.8610589,False,182.7812900709479
259,100127,763,545,931,901,847,723,0.8461692,False,529.1389231572366
260,100127,971,333,1122,672,1046,502,0.8221682,False,338.42281246984516
261,100127,1307,821,1433,1076,1370,948,0.7888376,False,333.0375354220602
262,100127,1369,476,1455,830,1412,653,0.7758824,True,60.440052945046304
263,100127,511,528,589,884,550,706,0.76729554,False,820.0646315992417
264,100127,500,339,590,612,545,475,0.76138353,False,831.8653737234168
265,100127,813,415,910,655,861,535,0.75340015,False,510.30970988214597
266,100127,1727,233,1809,560,1768,396,0.7085342,False,458.66109492739844
267,100127,870,234,998,441,934,337,0.671029,False,512.8791280604037
268,100127,1802,818,1907,1076,1854,947,0.6356445,False,591.0541430359827
269,100127,1595,224,1707,493,1651,358,0.56140465,False,384.50617680344226
270,100127,692,212,814,431,753,321,0.5535744,False,678.9550795155744
271,100127,1401,278,1512,466,1456,372,0.5305294,False,259.4802497301095
272,100128,1138,354,1287,677,1212,515,0.8604103,False,182.7812900709479
273,100128,764,545,920,902,842,723,0.8225763,False,534.0346430710277
274,100128,972,333,1122,672,1047,502,0.81145287,False,337.4803697994892
275,100128,1309,821,1433,1076,1371,948,0.79411924,False,333.0540496676178
276,100128,1367,474,1455,830,1411,652,0.78243107,True,59.033888572581766
277,100128,512,529,588,884,550,706,0.7716311,False,820.0646315992417
278,100128,813,416,910,656,861,536,0.75003,False,510.1538983483317
279,100128,501,339,589,611,545,475,0.74340385,False,831.8653737234168
280,100128,1726,233,1809,560,1767,396,0.728712,False,457.78269954204256
281,100128,870,234,999,440,934,337,0.67907584,False,512.8791280604037
282,100128,1806,818,1909,1077,1857,947,0.63934416,False,593.5385412928127
283,100128,692,212,816,431,754,321,0.5652131,False,678.0538326711236
284,100128,1401,279,1513,466,1457,372,0.53968716,False,259.83263844251746
285,100128,1596,224,1707,494,1651,359,0.5347176,False,383.83850770864564
286,100129,1139,353,1286,677,1212,515,0.86332643,False,182.2361105818493
287,100129,973,334,1124,672,1048,503,0.8118525,False,335.87199942835366
288,100129,1311,820,1434,1076,1372,948,0.79578435,False,334.07334524023315
289,100129,1366,475,1455,830,1410,652,0.7864164,True,58.89821729050889
290,100129,812,415,910,659,861,537,0.7796106,False,509.848016569644
291,100129,511,529,589,884,550,706,0.76451933,False,820.1762005813141
292,100129,502,340,589,610,545,475,0.75799656,False,831.6976614130882
293,100129,1726,234,1811,560,1768,397,0.7427639,False,457.70951486723544
294,100129,765,545,868,902,816,723,0.71979314,False,559.7159994139885
295,100129,870,234,999,440,934,337,0.68872356,False,512.3377792043058
296,100129,1809,818,1912,1077,1860,947,0.64659727,False,596.5852830903558
297,100129,692,212,816,431,754,321,0.5725287,False,677.6208379322466
298,100129,1596,225,1707,493,1651,359,0.5659163,False,383.172285010281
299,100129,1401,278,1511,466,1456,372,0.5330984,False,258.54400012377005
300,100130,1139,350,1287,677,1213,513,0.86459756,False,182.7812900709479
301,100130,765,545,903,902,834,723,0.8371512,False,543.2531638195952
302,100130,974,334,1124,672,1049,503,0.831533,False,335.542843762164
303,100130,1312,820,1435,1076,1373,948,0.7895355,False,335.0731263470707
304,100130,812,415,910,658,861,536,0.77136666,False,510.8365687771383
305,100130,511,529,589,884,550,706,0.7620728,False,821.2825336021704
306,100130,501,339,589,608,545,473,0.75755805,False,832.8511271529865
307,100130,1364,474,1456,830,1410,652,0.75267863,True,58.7962583843564
308,100130,1727,234,1810,559,1768,396,0.7010066,False,456.8292897790158
309,100130,870,234,999,440,934,337,0.67457324,False,512.6402247190518
310,100130,1812,818,1915,1077,1863,947,0.6437677,False,598.8029726045121
311,100130,1598,224,1707,493,1652,358,0.5855655,False,383.172285010281
312,100130,692,212,815,430,753,321,0.571515,False,678.9941089582442
313,100130,1401,278,1513,466,1457,372,0.5219281,False,257.6082296822056
314,100132,1138,353,1286,677,1212,515,0.86241835,False,182.3211452355431
315,100132,975,334,1124,672,1049,503,0.8282719,False,335.8392472597567
316,100132,766,546,893,903,829,724,0.8268763,False,549.7390289946676
317,100132,1313,818,1436,1077,1374,947,0.7820659,False,336.0729087564185
318,100132,510,529,588,885,549,707,0.77757305,False,823.6139872537377
319,100132,812,415,910,656,861,535,0.7657002,False,511.6756785308444
320,100132,500,339,589,610,544,474,0.7552932,False,834.3248767716326
321,100132,1361,474,1456,830,1408,652,0.7093035,True,57.982756057296896
322,100132,1727,233,1809,560,1768,396,0.6979074,False,455.0010988997719
323,100132,870,234,999,440,934,337,0.66509944,False,512.4109678763716
324,100132,1816,819,1917,1077,1866,948,0.60846263,False,602.1378579694189
325,100132,1598,225,1708,493,1653,359,0.5988766,False,381.18237105091833
326,100132,692,212,815,430,753,321,0.55482125,False,679.0404995285627
